iter	Passed	Remaining
0	181	108464
1	227	68068
2	292	58246
3	339	50644
4	398	47396
5	452	44839
6	510	43212
7	566	41886
8	620	40764
9	676	39898
10	731	39149
11	785	38484
12	835	37726
13	881	36913
14	931	36332
15	978	35730
16	1023	35089
17	1065	34449
18	1110	33970
19	1153	33442
20	1196	32987
21	1241	32614
22	1283	32199
23	1327	31867
24	1373	31581
25	1416	31272
26	1458	30962
27	1503	30706
28	1547	30473
29	1592	30254
30	1633	29986
31	1676	29750
32	1721	29580
33	1768	29443
34	1811	29245
35	1855	29063
36	1899	28898
37	1942	28725
38	1985	28565
39	2032	28452
40	2076	28309
41	2117	28137
42	2159	27974
43	2201	27812
44	2243	27675
45	2285	27529
46	2329	27411
47	2374	27305
48	2421	27225
49	2462	27088
50	2505	26973
51	2549	26870
52	2592	26755
53	2642	26713
54	2684	26596
55	2725	26475
56	2771	26398
57	2817	26324
58	2862	26243
59	2907	26163
60	2952	26089
61	2997	26006
62	3041	25921
63	3085	25839
64	3129	25757
65	3174	25686
66	3216	25591
67	3265	25544
68	3313	25497
69	3361	25449
70	3407	25389
71	3452	25319
72	3498	25254
73	3544	25195
74	3587	25113
75	3635	25063
76	3680	24997
77	3726	24936
78	3771	24871
79	3814	24796
80	3858	24724
81	3902	24655
82	3947	24586
83	3989	24504
84	4031	24423
85	4075	24357
86	4119	24291
87	4161	24213
88	4206	24153
89	4252	24099
90	4297	24035
91	4340	23968
92	4387	23919
93	4436	23883
94	4482	23829
95	4530	23786
96	4578	23741
97	4625	23693
98	4669	23632
99	4717	23586
100	4766	23548
101	4816	23516
102	4878	23542
103	4931	23520
104	4981	23483
105	5033	23459
106	5083	23423
107	5128	23363
108	5174	23309
109	5220	23255
110	5267	23206
111	5312	23149
112	5357	23090
113	5402	23031
114	5446	22970
115	5489	22905
116	5533	22841
117	5577	22783
118	5623	22731
119	5683	22735
120	5728	22678
121	5772	22617
122	5814	22548
123	5859	22493
124	5909	22456
125	5955	22402
126	5999	22343
127	6046	22295
128	6091	22239
129	6137	22189
130	6179	22124
131	6224	22069
132	6314	22173
133	6359	22114
134	6405	22064
135	6450	22009
136	6495	21951
137	6540	21894
138	6586	21844
139	6631	21788
140	6674	21728
141	6719	21672
142	6764	21618
143	6806	21555
144	6850	21495
145	6891	21430
146	6935	21372
147	6978	21313
148	7021	21251
149	7063	21191
150	7106	21130
151	7148	21069
152	7192	21012
153	7237	20960
154	7281	20905
155	7324	20847
156	7366	20786
157	7410	20729
158	7457	20684
159	7503	20634
160	7553	20597
161	7597	20540
162	7643	20491
163	7686	20433
164	7728	20376
165	7774	20325
166	7821	20278
167	7868	20234
168	7912	20179
169	7961	20138
170	8006	20087
171	8050	20032
172	8096	19983
173	8141	19931
174	8193	19897
175	8237	19844
176	8281	19790
177	8328	19745
178	8371	19689
179	8418	19642
180	8461	19588
181	8504	19531
182	8548	19479
183	8593	19428
184	8638	19377
185	8681	19324
186	8728	19276
187	8770	19220
188	8813	19165
189	8855	19108
190	8901	19060
191	8946	19012
192	8990	18959
193	9037	18912
194	9082	18864
195	9130	18820
196	9183	18786
197	9229	18738
198	9279	18698
199	9329	18658
200	9378	18617
201	9421	18563
202	9465	18511
203	9508	18458
204	9552	18405
205	9597	18355
206	9643	18309
207	9686	18256
208	9730	18203
209	9774	18153
210	9822	18108
211	9867	18058
212	9912	18010
213	9958	17962
214	10000	17907
215	10044	17856
216	10093	17814
217	10138	17766
218	10184	17717
219	10229	17668
220	10274	17620
221	10318	17569
222	10364	17521
223	10408	17472
224	10454	17424
225	10499	17375
226	10544	17326
227	10590	17278
228	10634	17228
229	10678	17178
230	10723	17129
231	10767	17079
232	10811	17029
233	10854	16977
234	10898	16927
235	10938	16871
236	10981	16819
237	11023	16767
238	11065	16714
239	11108	16663
240	11152	16612
241	11197	16564
242	11241	16515
243	11286	16466
244	11329	16416
245	11372	16365
246	11414	16313
247	11459	16264
248	11504	16217
249	11553	16174
250	11599	16128
251	11652	16091
252	11696	16041
253	11740	15992
254	11787	15947
255	11833	15901
256	11878	15853
257	11923	15805
258	11967	15756
259	12012	15708
260	12054	15656
261	12099	15609
262	12145	15562
263	12187	15511
264	12232	15463
265	12276	15414
266	12319	15365
267	12363	15315
268	12408	15268
269	12453	15220
270	12497	15172
271	12542	15125
272	12587	15077
273	12634	15032
274	12679	14985
275	12723	14936
276	12769	14889
277	12816	14844
278	12861	14797
279	12902	14745
280	12944	14695
281	12985	14643
282	13026	14591
283	13066	14539
284	13110	14490
285	13150	14437
286	13193	14388
287	13235	14337
288	13280	14291
289	13321	14240
290	13363	14190
291	13408	14143
292	13455	14098
293	13502	14054
294	13549	14008
295	13596	13964
296	13647	13923
297	13693	13877
298	13739	13831
299	13782	13782
300	13823	13731
301	13864	13681
302	13904	13628
303	13945	13578
304	13985	13527
305	14026	13476
306	14069	13427
307	14111	13378
308	14152	13328
309	14196	13280
310	14238	13231
311	14281	13183
312	14323	13133
313	14366	13085
314	14406	13034
315	14450	12986
316	14493	12939
317	14534	12889
318	14576	12840
319	14620	12792
320	14661	12742
321	14703	12694
322	14748	12648
323	14791	12600
324	14834	12552
325	14878	12505
326	14923	12459
327	14965	12410
328	15008	12362
329	15050	12313
330	15091	12264
331	15132	12215
332	15177	12169
333	15221	12122
334	15265	12075
335	15307	12027
336	15346	11976
337	15387	11927
338	15432	11881
339	15475	11834
340	15518	11786
341	15561	11739
342	15605	11693
343	15650	11646
344	15694	11600
345	15736	11552
346	15782	11507
347	15826	11460
348	15868	11412
349	15910	11364
350	15953	11317
351	15996	11270
352	16040	11223
353	16084	11177
354	16128	11131
355	16169	11082
356	16212	11035
357	16256	10989
358	16300	10942
359	16342	10895
360	16384	10847
361	16428	10801
362	16472	10754
363	16515	10708
364	16560	10662
365	16601	10614
366	16647	10569
367	16692	10523
368	16735	10476
369	16780	10431
370	16821	10383
371	16862	10335
372	16907	10289
373	16948	10241
374	16995	10197
375	17038	10150
376	17081	10103
377	17123	10056
378	17163	10008
379	17204	9960
380	17247	9914
381	17289	9867
382	17333	9820
383	17377	9774
384	17419	9727
385	17463	9681
386	17505	9635
387	17550	9589
388	17595	9543
389	17638	9497
390	17678	9449
391	17723	9404
392	17775	9362
393	17825	9319
394	17875	9277
395	17921	9232
396	17966	9186
397	18011	9141
398	18057	9096
399	18104	9052
400	18145	9004
401	18186	8957
402	18229	8911
403	18272	8865
404	18315	8818
405	18360	8773
406	18405	8728
407	18450	8682
408	18492	8635
409	18534	8589
410	18576	8542
411	18618	8495
412	18662	8450
413	18704	8403
414	18747	8357
415	18789	8310
416	18831	8263
417	18871	8216
418	18912	8169
419	18955	8123
420	18997	8077
421	19038	8030
422	19080	7984
423	19123	7938
424	19167	7892
425	19227	7853
426	19270	7807
427	19318	7763
428	19363	7718
429	19404	7671
430	19450	7626
431	19493	7580
432	19537	7535
433	19582	7490
434	19624	7443
435	19667	7397
436	19708	7351
437	19749	7304
438	19791	7258
439	19848	7217
440	19890	7171
441	19930	7124
442	19970	7077
443	20011	7031
444	20052	6984
445	20096	6939
446	20138	6893
447	20180	6846
448	20223	6801
449	20266	6755
450	20308	6709
451	20348	6662
452	20392	6617
453	20432	6570
454	20477	6525
455	20519	6479
456	20562	6434
457	20605	6388
458	20648	6342
459	20690	6297
460	20734	6251
461	20776	6205
462	20818	6160
463	20860	6114
464	20904	6069
465	20946	6023
466	20987	5977
467	21027	5930
468	21070	5885
469	21110	5839
470	21152	5793
471	21193	5747
472	21237	5702
473	21276	5655
474	21319	5610
475	21362	5565
476	21404	5519
477	21445	5473
478	21487	5427
479	21531	5382
480	21574	5337
481	21613	5291
482	21656	5245
483	21698	5200
484	21740	5154
485	21782	5109
486	21826	5064
487	21865	5018
488	21907	4972
489	21951	4927
490	21993	4882
491	22035	4837
492	22076	4791
493	22121	4746
494	22166	4701
495	22209	4656
496	22254	4612
497	22299	4567
498	22342	4522
499	22387	4477
500	22432	4432
501	22473	4387
502	22514	4341
503	22556	4296
504	22594	4250
505	22637	4205
506	22677	4159
507	22717	4114
508	22760	4069
509	22800	4023
